,customer_number,Cluster,cluster_name
1465,7969,4,Occassional Buyers
1466,7973,4,Occassional Buyers
1467,7977,3,Convenience-seeker Buyers
1468,7991,1,Budget Buyers
1469,7996,3,Convenience-seeker Buyers
1470,8011,2,Regular Buyers
1471,8022,0,Premium Buyers
1472,8061,4,Occassional Buyers
1473,8062,1,Budget Buyers
1474,8065,1,Budget Buyers
1475,8066,3,Convenience-seeker Buyers
1476,8069,0,Premium Buyers
1477,8071,3,Convenience-seeker Buyers
1478,8074,1,Budget Buyers
1479,8087,1,Budget Buyers
1480,8092,1,Budget Buyers
1481,8099,0,Premium Buyers
1482,8108,3,Convenience-seeker Buyers
1483,8115,3,Convenience-seeker Buyers
1484,8116,1,Budget Buyers
1485,8118,1,Budget Buyers
1486,8119,4,Occassional Buyers
1487,8137,4,Occassional Buyers
1488,8142,2,Regular Buyers
1489,8145,3,Convenience-seeker Buyers
1490,8152,2,Regular Buyers
1491,8154,1,Budget Buyers
1492,8165,0,Premium Buyers
1493,8171,0,Premium Buyers
1494,8178,3,Convenience-seeker Buyers
1495,8179,2,Regular Buyers
1496,8181,4,Occassional Buyers
1497,8198,4,Occassional Buyers
1498,8207,3,Convenience-seeker Buyers
1499,8217,1,Budget Buyers
1500,8220,0,Premium Buyers
1501,8226,3,Convenience-seeker Buyers
1502,8245,0,Premium Buyers
1503,8247,1,Budget Buyers
1504,8248,1,Budget Buyers
1505,8251,4,Occassional Buyers
1506,8255,1,Budget Buyers
1507,8257,1,Budget Buyers
1508,8266,0,Premium Buyers
1509,8270,4,Occassional Buyers
1510,8275,1,Budget Buyers
1511,8284,2,Regular Buyers
1512,8287,3,Convenience-seeker Buyers
1513,8294,2,Regular Buyers
1514,8299,1,Budget Buyers
1515,8305,4,Occassional Buyers
1516,8307,1,Budget Buyers
1517,8322,0,Premium Buyers
1518,8325,1,Budget Buyers
1519,8326,4,Occassional Buyers
1520,8331,2,Regular Buyers
1521,8333,1,Budget Buyers
1522,8335,1,Budget Buyers
1523,8336,3,Convenience-seeker Buyers
1524,8338,2,Regular Buyers
1525,8341,4,Occassional Buyers
1526,8360,1,Budget Buyers
1527,8371,2,Regular Buyers
1528,8373,0,Premium Buyers
1529,8377,4,Occassional Buyers
1530,8380,1,Budget Buyers
1531,8381,0,Premium Buyers
1532,8387,3,Convenience-seeker Buyers
1533,8388,0,Premium Buyers
1534,8391,1,Budget Buyers
1535,8392,3,Convenience-seeker Buyers
1536,8407,1,Budget Buyers
1537,8410,1,Budget Buyers
1538,8417,3,Convenience-seeker Buyers
1539,8427,3,Convenience-seeker Buyers
1540,8428,1,Budget Buyers
1541,8429,0,Premium Buyers
1542,8434,2,Regular Buyers
1543,8442,3,Convenience-seeker Buyers
1544,8450,0,Premium Buyers
1545,8455,0,Premium Buyers
1546,8456,0,Premium Buyers
1547,8459,1,Budget Buyers
1548,8461,3,Convenience-seeker Buyers
1549,8464,2,Regular Buyers
1550,8477,1,Budget Buyers
1551,8478,1,Budget Buyers
1552,8485,1,Budget Buyers
1553,8488,2,Regular Buyers
1554,8504,0,Premium Buyers
1555,8519,1,Budget Buyers
1556,8520,0,Premium Buyers
1557,8523,1,Budget Buyers
1558,8536,0,Premium Buyers
1559,8539,1,Budget Buyers
1560,8540,1,Budget Buyers
1561,8543,1,Budget Buyers
1562,8548,2,Regular Buyers
1563,8552,2,Regular Buyers
1564,8557,2,Regular Buyers
1565,8562,3,Convenience-seeker Buyers
1566,8563,3,Convenience-seeker Buyers
1567,8564,3,Convenience-seeker Buyers
1568,8567,1,Budget Buyers
1569,8568,3,Convenience-seeker Buyers
1570,8577,0,Premium Buyers
1571,8584,2,Regular Buyers
1572,8586,1,Budget Buyers
1573,8588,1,Budget Buyers
1574,8606,1,Budget Buyers
1575,8607,0,Premium Buyers
1576,8614,2,Regular Buyers
1577,8622,3,Convenience-seeker Buyers
1578,8623,1,Budget Buyers
1579,8636,3,Convenience-seeker Buyers
1580,8639,0,Premium Buyers
1581,8647,1,Budget Buyers
